N;BS;time
512;128;0,547732
512;256;0,530505
512;512;0,523334
1024;128;4,372617
1024;256;4,240777
1024;512;4,184757
2048;128;34,899738
2048;256;33,907192
2048;512;33,400759
4096;128;279,867492
4096;256;271,312584
4096;512;290,193419
