T;512;1024;2048;4096
1;0.0950;0.6974;5.7644;44.1105
2;0.0480;0.3678;2.9112;23.0850
4;0.0254;0.1875;1.5148;12.0002
8;0.0135;0.0961;0.7913;6.2021
