TIMES,quadatric2,quadatric3
100,1.319183,1.449851
200,2.640517,2.899825
300,4.035354,4.358405
400,5.444441,5.808714
500,6.832053,7.284110
600,8.165935,8.733620
700,9.540683,10.182361
800,10.895473,11.658025
900,12.251640,13.084650
1000,13.632069,14.550331
100,1.446694,0.854126
200,2.880982,1.658663
300,4.325135,2.441069
400,5.775064,3.256372
500,7.222343,4.064774
600,8.635720,4.878079
700,10.105378,5.670071
800,11.494796,6.502978
900,12.972606,7.325666
1000,14.438184,8.134773
