N;BS;time
512;4;0,097965
512;8;0,084637
512;16;0,090250
512;32;0,103371
512;64;0,116086
1024;4;0,770193
1024;8;0,653629
1024;16;0,726067
1024;32;0,797410
1024;64;0,913187
2048;4;6,161635
2048;8;5,293775
2048;16;6,215205
2048;32;6,891439
2048;64;7,495236
4096;4;48,175156
4096;8;43,109092
4096;16;55,678119
4096;32;56,603744
4096;64;60,725187
