N;BS;time
512;2;3,735947
512;4;0,654505
512;8;0,616837
512;16;0,557021
512;32;0,542890
512;64;0,527378
1024;2;29,938340
1024;4;5,288639
1024;8;4,946031
1024;16;4,548158
1024;32;4,341818
1024;64;4,210748
2048;2;239,775089
2048;4;42,644071
2048;8;39,571478
2048;16;36,376614
2048;32;34,649163
2048;64;33,663277
4096;2;1912,972700
4096;4;342,906016
4096;8;311,320312
4096;16;289,839712
4096;32;276,964103
4096;64;268,763825
